"Edad","Area_Academica","Hrs de Sueño","Ingreso_Mensual","Tiempo_Traslado_Min","Transporte","Trabajo","Número de comidas","Hrs de estudio","Hrs en Redes","Materias inscritas","Promedio","Nivel de estres","Metodo de estudio","Nivel de interes","Area de interes","Categoria_Predominante","Transp_a_pie","Transp_por_app","Transp_publico","Transp_propio"
"21","Exactas e Ingenierías","5","33920","105","Transporte público (Autobús, Metro, etc.)","0","5","5","5","6","9.3","4","0","3","Procesos químicos","Otras/Multidisciplinar","0","0","1","0"
"21","Artes y Diseño","6","16960","52.5","Transporte público (Autobús, Metro, etc.)","0","2","3","3","7","9.2","5","0","4","Matemáticas","Diseño y Artes","0","0","1","0"
"22","Económico-Administrativas","6","8480","105","Transporte público (Autobús, Metro, etc.)","0","3","5","3","7","9.5","4","1","4","Diseño gráfico","Otras/Multidisciplinar","0","0","1","0"
"21","Exactas e Ingenierías","6","16960","75","Transporte público (Autobús, Metro, etc.)","0","5","1","4","6","8.9","3","0","4","Matemáticas","Exactas y Métodos","0","0","1","0"
"21","Económico-Administrativas","6","33920","52.5","Transporte público (Autobús, Metro, etc.)","0","4","2","4","7","9.7","5","1","3","Administración","Sociales y Humanidades","0","0","1","0"
"21","Exactas e Ingenierías","3","16960","52.5","Vehículo propio (Automóvil/Motocicleta)","0","2","2","2","7","8","4","0","5","Matemáticas","Otras/Multidisciplinar","0","0","0","1"
"23","Exactas e Ingenierías","7","42400","7.5","A pie","1","3","3","1","6","8.3","3","1","4","Finanzas","Exactas y Métodos","1","0","0","0"
"21","Salud y Naturales","5","8480","30","Transporte público (Autobús, Metro, etc.)","1","2","2","1","6","8.5","4","0","4","Biología","Salud y Biológicas","0","0","1","0"
"22","Artes y Diseño","5","8480","30","Transporte público (Autobús, Metro, etc.)","0","2","2","5","5","9.2","3","0","3","Artes","Diseño y Artes","0","0","1","0"
"22","Artes y Diseño","5","42400","7.5","A pie","0","2","5","2","7","9","4","1","5","Artes","Diseño y Artes","1","0","0","0"
"22","Económico-Administrativas","6","16960","30","Vehículo propio (Automóvil/Motocicleta)","0","4","3","4","5","9","3","0","4","Artes","Otras/Multidisciplinar","0","0","0","1"
"21","Salud y Naturales","6","42400","7.5","Transporte público (Autobús, Metro, etc.)","1","3","2","5","9","8.9","5","0","3","Matemáticas","Exactas y Métodos","0","0","1","0"
"21","Exactas e Ingenierías","7","16960","30","Vehículo propio (Automóvil/Motocicleta)","0","3","1","3","5","8.8","2","0","4","Matemáticas","Exactas y Métodos","0","0","0","1"
"22","Salud y Naturales","8","25440","75","Transporte público (Autobús, Metro, etc.)","0","3","2","3","6","9.4","4","0","3","Salud","Salud y Biológicas","0","0","1","0"
"19","Sociales y Humanidades","6","25440","30","Transporte público (Autobús, Metro, etc.)","1","2","1","1","6","9.2","3","0","4","Economía","Exactas y Métodos","0","0","1","0"
"21","Exactas e Ingenierías","6","25440","75","Transporte público (Autobús, Metro, etc.)","1","3","0","4","7","8.14","4","1","5","Matemáticas","Otras/Multidisciplinar","0","0","1","0"
"22","Salud y Naturales","6","16960","30","Vehículo propio (Automóvil/Motocicleta)","0","3","2","3","9","9.3","5","0","4","Salud","Salud y Biológicas","0","0","0","1"
"23","Salud y Naturales","6","16960","52.5","Transporte público (Autobús, Metro, etc.)","0","2","2","2","9","9.2","4","1","3","Salud","Salud y Biológicas","0","0","1","0"
"22","Salud y Naturales","5","16960","52.5","Transporte público (Autobús, Metro, etc.)","1","3","1","5","9","8.7","4","0","3","Salud","Salud y Biológicas","0","0","1","0"
"19","Sociales y Humanidades","7","8480","52.5","A pie","0","3","3","2","6","9","3","1","5","Procesos químicos","Sociales y Humanidades","1","0","0","0"
"22","Exactas e Ingenierías","7","16960","30","Vehículo propio (Automóvil/Motocicleta)","0","3","2","2","6","9","5","0","5","Programación","Exactas y Métodos","0","0","0","1"
"21","Exactas e Ingenierías","6","16960","75","Transporte público (Autobús, Metro, etc.)","1","2","3","1","7","9.6","4","0","5","Procesos químicos","Exactas y Métodos","0","0","1","0"
"20","Exactas e Ingenierías","6","16960","7.5","A pie","0","2","4","5","5","9.4","1","0","4","Probabilidad y estadística","Exactas y Métodos","1","0","0","0"
"21","Artes y Diseño","7","16960","7.5","Transporte público (Autobús, Metro, etc.)","0","3","1","5","5","9.5","2","0","5","Artes","Diseño y Artes","0","0","1","0"
"23","Exactas e Ingenierías","7","16960","30","Transporte público (Autobús, Metro, etc.)","0","4","2","2","6","8.7","2","1","4","Procesos químicos","Salud y Biológicas","0","0","1","0"
"23","Artes y Diseño","6","16960","7.5","Vehículo propio (Automóvil/Motocicleta)","0","2","0","5","6","9.33","5","0","5","Diseño gráfico","Otras/Multidisciplinar","0","0","0","1"
"21","Sociales y Humanidades","7","25440","30","Transporte por aplicación (Uber, Didi, Taxi)","1","3","3","3","6","9.3","4","1","5","Derecho","Sociales y Humanidades","0","1","0","0"
"22","Económico-Administrativas","4","16960","105","Transporte público (Autobús, Metro, etc.)","0","3","1","3","6","9.88","4","0","3","Finanzas","Económico-Administrativa","0","0","1","0"
"22","Exactas e Ingenierías","5","33920","7.5","A pie","0","3","3","3","5","9.38","3","0","4","Finanzas","Otras/Multidisciplinar","1","0","0","0"
